2017-10-31 11:33:46.133672
Getting PMID list...
2017-10-31 11:34:50.693778
Getting Pubmed records...
PMID:27653487 no change
PMID:27635237 no change
PMID:27645054 no change
PMID:27637067 no change
PMID:27637876 no change
PMID:27650330 no change
PMID:27646017 no change
PMID:27647936 no change
PMID:27650253 no change
PMID:27633830 no change
PMID:27634467 no change
PMID:27658249 no change
PMID:26278914 no change
PMID:26436461 no change
PMID:26543202 no change
PMID:27649245 no change
PMID:26359915 no change
PMID:27641752 no change
PMID:27648642 no change
PMID:27645746 no change
PMID:27642362 no change
PMID:27634775 no change
PMID:27634482 no change
PMID:27633120 no change
PMID:27655944 no change
PMID:27637489 no change
PMID:27634403 no change
PMID:27645931 no change
PMID:27637775 no change
PMID:27648451 no change
PMID:27639630 no change
PMID:27639436 no change
PMID:27656112 no change
PMID:27618268 no change
PMID:27625208 no change
PMID:27611930 no change
PMID:27613421 no change
PMID:27161047 no change
PMID:27558935 no change
PMID:27616453 no change
PMID:27617677 no change
PMID:27633130 no change
PMID:27637297 no change
PMID:27636878 no change
PMID:27643892 no change
PMID:27648972 no change
PMID:27642758 no change
PMID:27072897 no change
PMID:26614651 no change
PMID:27609601 no change
PMID:27618952 no change
PMID:27587772 no change
PMID:27618117 no change
PMID:27629523 no change
PMID:27616763 no change
PMID:27628486 no change
PMID:27625073 no change
PMID:27613113 no change
PMID:27630630 no change
PMID:27630863 no change
PMID:27621363 no change
PMID:27630263 no change
PMID:27618436 no change
PMID:27627879 no change
PMID:27623007 no change
PMID:27620332 no change
PMID:27618491 no change
PMID:27620384 no change
PMID:27629822 no change
PMID:27612786 no change
PMID:27614020 no change
PMID:27632000 no change
PMID:27632001 no change
PMID:27613055 no change
PMID:27614400 no change
PMID:27621028 no change
PMID:27613572 no change
PMID:27609600 no change
PMID:27613047 no change
PMID:27619647 no change
PMID:27611834 no change
PMID:27611246 no change
PMID:27610566 no change
PMID:27631802 no change
PMID:26359232 no change
PMID:26446170 no change
PMID:27621040 no change
PMID:27618557 no change
PMID:27613039 no change
PMID:27630019 no change
PMID:27619703 no change
PMID:27631997 no change
PMID:27630194 no change
PMID:27613031 no change
PMID:27631799 no change
PMID:27620460 no change
PMID:27632412 no change
PMID:27616289 no change
PMID:27614107 no change
PMID:27632710 no change
PMID:27622474 no change
PMID:27614295 no change
PMID:26311433 no change
PMID:26627658 no change
PMID:26094768 no change
PMID:26061244 no change
PMID:27623011 no change
PMID:27631810 no change
PMID:27613054 no change
PMID:27631809 no change
PMID:27601258 no change
PMID:26951197 no change
PMID:27586699 no change
PMID:27591256 no change
PMID:27590019 no change
PMID:27601672 no change
PMID:27605167 no change
PMID:25827087 no change
PMID:27586883 no change
PMID:27590193 no change
PMID:27594449 no change
PMID:27603010 no change
PMID:27601325 no change
PMID:27594428 no change
PMID:27606777 no change
PMID:27605516 no change
PMID:27601442 no change
PMID:27602028 no change
PMID:27599550 no change
PMID:27589271 no change
PMID:27587401 no change
PMID:27601190 no change
PMID:27589939 no change
PMID:27592031 no change
PMID:27597310 no change
PMID:27589940 no change
PMID:27598575 no change
PMID:27594915 no change
PMID:27605704 no change
PMID:27586327 no change
PMID:27587778 no change
PMID:27587777 no change
PMID:27598230 no change
PMID:27587776 no change
PMID:27604033 no change
PMID:27607883 no change
PMID:27587784 no change
PMID:27596631 no change
PMID:27593562 no change
PMID:27587415 no change
PMID:27585717 no change
PMID:27585592 no change
PMID:27587666 no change
PMID:27585847 no change
PMID:27602576 no change
PMID:27587783 no change
PMID:27605377 no change
PMID:27566148 no change
PMID:27570879 no change
PMID:27575162 no change
PMID:27574117 no change
PMID:26296328 no change
PMID:26537406 no change
PMID:27010670 no change
PMID:27576713 no change
PMID:26871109 no change
PMID:27565335 no change
PMID:27562955 no change
PMID:27568571 no change
PMID:27576708 no change
PMID:27583779 no change
PMID:27565563 no change
PMID:27581294 no change
PMID:27573382 no change
PMID:27575340 no change
PMID:27571061 no change
PMID:27566648 no change
PMID:27576712 no change
PMID:27576721 no change
PMID:27576709 no change
PMID:27572163 no change
PMID:27582385 no change
PMID:27566164 no change
PMID:27573545 no change
PMID:27563675 no change
PMID:27561673 no change
PMID:27565373 no change
PMID:27573438 no change
PMID:27576599 no change
PMID:27563027 no change
PMID:27577186 no change
PMID:27567046 no change
PMID:27580715 no change
PMID:27564138 no change
PMID:27576171 no change
PMID:27582274 no change
PMID:27575455 no change
PMID:27584980 no change
PMID:27577255 no change
PMID:27561298 no change
PMID:27582183 no change
PMID:27580271 no change
PMID:27539921 no change
PMID:27540088 no change
PMID:27559135 no change
PMID:27538565 no change
PMID:27552055 no change
PMID:27540414 no change
PMID:27558777 no change
PMID:27383794 no change
PMID:27550809 no change
PMID:27543005 no change
PMID:27554321 no change
PMID:27560294 no change
PMID:27543059 no change
PMID:27545349 no change
PMID:27555611 no change
PMID:27548223 no change
PMID:27557053 no change
PMID:27540473 no change
PMID:27547825 no change
PMID:27555049 no change
PMID:27547826 no change
PMID:27546186 no change
PMID:27550794 no change
PMID:27549112 no change
PMID:27556636 no change
PMID:27549370 no change
PMID:27544759 no change
PMID:27557593 no change
PMID:27540631 no change
PMID:27558135 no change
PMID:27557335 no change
PMID:27557894 no change
PMID:27552203 no change
PMID:27543294 no change
PMID:27554342 no change
PMID:27539436 no change
PMID:27557765 no change
PMID:27557880 no change
PMID:27551064 no change
