Group	Curator	ENTITY_TYPE	ENTITY_ID	TOPIC	SUBTOPIC	Last updated	TEXT
SGD	Edith Wong	protein	P39684	GO Annotation Summary		2019-07-16	Protein involved in the regulation of translation and mRNA metabolic processes; localized to the prospore membrane
SGD	Edith Wong	protein	P40481	GO Annotation Summary		2019-05-10	S-adenosylmethionine-dependent methyltransferase involved assembly of ribosomal large subunit and positively regulates translational fidelity; localized  to nucleus and cytoplasm
SGD	Edith Wong	protein	P38801	GO Annotation Summary		2019-05-08	An enzyme regulation protein that binds double-stranded DNA; involved in nuclear polyadenylation-dependent rRNA and CUT catabolic processes; localized to the nucleus
SGD	Edith Wong	protein	P40090	GO Annotation Summary		2019-05-03	Kinetochore binding protein involved in double-strand break repair, mitotic chromosome and rDNA condensation and mitotic sister chromatid cohesion; localized to the SMC loading complex and nuclear chromatin
SGD	Edith Wong	protein	P32629	GO Annotation Summary		2019-05-03	A component of alpha-1,6-mannosyltransferase complex involved in protein N-linked glycosylation; located at the Golgi cis cisterna
SGD	Edith Wong	protein	P38080	GO Annotation Summary		2019-05-02	Serine/threonine kinase that negatively regulates clathrin-dependent endocytosis; localized to the cellular bud neck and prospore membrane
SGD	Kevin MacPherson	protein	P40355	GO Annotation Summary		2019-07-25	Putative protein involved in N-glycan processing
SGD	Kevin MacPherson	protein	P36103	GO Annotation Summary		2019-07-24	Protein that is involved in 3'-5' exonucleolytic nuclear-transcribed mRNA catabolism; localized to the cytoplasm in a high-throughput study
SGD	Kevin MacPherson	protein	Q04461	GO Annotation Summary		2019-06-11	Sequence-specific DNA binding protein involved in localizing the Slx5-Slx8 SUMO-targeted ubiquitin ligase (STUbL) complex to chromatin
SGD	Marek Skrzypek	protein	Q05610	GO Annotation Summary		2019-07-11	Protein involved in ascospore wall assembly; localizes to prospore membranes
SGD	Marek Skrzypek	protein	Q03921	GO Annotation Summary		2019-07-11	Protein implicated in Golgi to endosome transport and in retrograde transport, within Golgi and endosome to Golgi; localizes in Golgi, endosome and trans-Golgi network membranes
SGD	Marek Skrzypek	protein	P38774	GO Annotation Summary		2019-06-27	2-deoxyglucose-6-phosphate phosphatase involved in glucose metabolism
SGD	Marek Skrzypek	protein	P53327	GO Annotation Summary		2019-06-27	Predicted RNA helicase that regulates translation; localized to cytoplasmic stress granule
SGD	Marek Skrzypek	protein	P53068	GO Annotation Summary		2019-06-27	Subunit of Anaphase-Promoting Complexes; contributes to ubiquitin protein ligase activity; involved in cell cycle progression
SGD	Marek Skrzypek	protein	P38773	GO Annotation Summary		2019-06-27	2-deoxyglucose-6-phosphate phosphatase involved in glucose metabolism; localizes to both nucleus and cytoplasm
SGD	Marek Skrzypek	protein	Q03652	GO Annotation Summary		2019-06-06	Protein essential for maintenance and inheritance of mitochondrial DNA
SGD	Marek Skrzypek	protein	Q08387	GO Annotation Summary		2019-06-06	DNA ligase involved in DNA repair via nonhomologous end joining; subunit of DNA ligase IV complex
SGD	Rob Nash	protein	P23179	GO Annotation Summary		2019-06-26	Endodeoxyribonuclease that is involved in double-strand break formation during meiosis; localized to the chromosome during premeiotic S phase and meiosis I
